url;company;make;model;version;price;price_financed;fuel;year;kms;power;doors;shift;color;photos;is_professional;dealer;province;country;publish_date;insert_date
e158ae0ca53119ca199c28c36b5c2fcd;9881bcdd5a0ad4733037b3fb25e69c3a;SEAT;Toledo;SEAT Toledo  4p.;950;;Diésel;2000;227000;;4;Manual;Verde;5;FALSO;0f4bb8455d27349b8273109b66a847f3;Navarra;Spain;18/12/20 10:47;15/1/21 0:00
ff267ebb7e700246f47f84f3db660b4b;9881bcdd5a0ad4733037b3fb25e69c3a;CITROEN;C1;CITROEN C1 PureTech 60KW 82CV Feel 5p.;6200;;Gasolina;2017;50071;82;5;Manual;Blanco;6;VERDADERO;Autos Raymara;Tenerife;Spain;2/1/21 11:25;15/1/21 0:00
de4b02db28ea7786c622b969be10c7c7;9881bcdd5a0ad4733037b3fb25e69c3a;FORD;Transit Connect;FORD Transit Connect Van 1.5 TDCi 100cv Ambiente 200 L1;7851;7024;Diésel;2016;103000;100;4;Manual;Blanco;10;VERDADERO;Auto 96;Barcelona;Spain;16/12/20 10:51;15/1/21 0:00
0449972a4d07594acf92e9a7dd28b39c;9881bcdd5a0ad4733037b3fb25e69c3a;VOLKSWAGEN;Caravelle;VOLKSWAGEN Caravelle Largo 2.0 TDI 140 Comfortlin Edition BMT;19426;;Diésel;2014;120000;140;4;Manual;Blanco;9;VERDADERO;Inniauto;Navarra;Spain;25/11/20 11:09;15/1/21 0:00
12c4fa49bd4fdf23f19ecf396d3f02ef;9881bcdd5a0ad4733037b3fb25e69c3a;FORD;Transit;FORD Transit 350 96kW L4 Ambiente Propulsion Trasera;22850;22800;Diésel;2017;107000;130;2;Manual;Blanco;4;VERDADERO;Autofleet España,s.l;Sevilla;Spain;12/1/21 20:00;15/1/21 0:00
f15e9a256de698bf0588753e7add0fdf;9881bcdd5a0ad4733037b3fb25e69c3a;PEUGEOT;3008;PEUGEOT 3008 Style 1.2 PureTech 130 SS 5p.;11490;10490;Gasolina;2016;78665;130;5;Manual;Blanco;32;VERDADERO;Flexicar Rivas;Madrid;Spain;8/1/21 17:03;15/1/21 0:00
517b8f7c488d9d4645f76b1611418a4e;9881bcdd5a0ad4733037b3fb25e69c3a;LAND-ROVER;Discovery Sport;LAND-ROVER Discovery Sport 2.0L TD4 110kW 150CV 4x4 Pure 5p.;28500;26220;Diésel;2017;36238;150;5;Automático;Blanco;47;VERDADERO;OK Cars;Baleares;Spain;12/1/21 11:26;15/1/21 0:00
2ad681959d278f32a83c3ad7be35443e;9881bcdd5a0ad4733037b3fb25e69c3a;HONDA;Civic;HONDA Civic 2.2 iDTEC Sport 5p.;8200;;Diésel;2012;203000;150;5;Manual;Blanco;15;FALSO;001783c2b59526bb858210edffa68c6b;Barcelona;Spain;3/12/20 15:35;15/1/21 0:00
3cb810cd0cd871eb6d5c38832f5f8beb;9881bcdd5a0ad4733037b3fb25e69c3a;CITROEN;Berlingo;CITROEN Berlingo Multispace 20 Aniv. PureTech 81KW110CV 5p.;12100;;Gasolina;2018;45000;110;5;Manual;Azul;6;FALSO;f7cb72400bd7fb19294e1f9692c48cd9;Alicante;Spain;6/11/20 17:57;15/1/21 0:00
13b881bdd31a0387edd64edd726e8c93;9881bcdd5a0ad4733037b3fb25e69c3a;NISSAN;NOTE;NISSAN NOTE 5p. 1.2G 80CV Acenta NissanConnect 5p.;6300;;Gasolina;2016;77000;80;5;Manual;Blanco;6;FALSO;8a3b0eb4d055a275274895319688e80a;Barcelona;Spain;14/12/20 17:39;15/1/21 0:00
24493d316fdbd736dab7162c09f9d582;9881bcdd5a0ad4733037b3fb25e69c3a;CITROEN;Berlingo;CITROEN Berlingo Multispace 20 Aniv.BlueHDi 74KW 100CV;13900;12900;Diésel;2017;81000;100;5;Manual;Gris / Plata;21;VERDADERO;Automóviles Emilio;Murcia;Spain;7/1/21 19:22;15/1/21 0:00
8dadc0a13657e83e90a972e74456f701;9881bcdd5a0ad4733037b3fb25e69c3a;VOLKSWAGEN;Golf;VOLKSWAGEN Golf  3p.;1700;;Diésel;1990;350000;;3;Manual;Rojo;4;FALSO;a425a46b14a78f533e40e974b3d31385;Guipúzcoa;Spain;11/1/21 10:28;15/1/21 0:00
254023385c971f3854bbbb2f65b475e8;9881bcdd5a0ad4733037b3fb25e69c3a;VOLKSWAGEN;Polo;VOLKSWAGEN Polo 75 Trendline Auto 3p.;1300;;Gasolina;2001;217000;75;3;Manual;Azul;1;FALSO;a96e8f71351fbe70573b70189c0dd2bb;Barcelona;Spain;26/11/20 9:10;15/1/21 0:00
d03d85ad44554bc8dacd08daf46545c9;9881bcdd5a0ad4733037b3fb25e69c3a;MERCEDES-BENZ;Clase CL;MERCEDES-BENZ Clase CL CL 500 2p.;6900;;Gasolina;2001;169450;306;2;Automático;Gris / Plata;13;VERDADERO;M-World Car Conection;Málaga;Spain;26/11/20 12:35;15/1/21 0:00
2e6ffb51e1ddb2db51d3cf56a4406f6c;9881bcdd5a0ad4733037b3fb25e69c3a;FIAT;Panda;FIAT Panda 4X4 1.3 70kW 95CV Diesel E6 5p.;9500;;Diésel;2017;101623;95;5;Manual;296 Blanco Gelato (pastel);22;VERDADERO;CarNext.com;Madrid;Spain;11/1/21 11:20;15/1/21 0:00
6097cfb5b8be0043f13985bcedf618dc;9881bcdd5a0ad4733037b3fb25e69c3a;SKODA;Octavia;SKODA Octavia 1.0 TSI 85KW 115CV Ambition 5p.;13990;12290;Gasolina;2019;7591;115;5;Manual;Gris / Plata;10;VERDADERO;Ams Conde;Madrid;Spain;13/1/21 10:13;15/1/21 0:00
e932482f173d818d7fc24139fe2228c3;9881bcdd5a0ad4733037b3fb25e69c3a;BMW;Serie 3;BMW Serie 3  5p.;4200;;Diésel;2005;240000;;5;Automático;Gris / Plata;7;FALSO;fc69efaba5c47ad5742a75bad9a90a76;Jaén;Spain;10/12/20 6:44;15/1/21 0:00
